MSigDB_Set_Name	GO_Term_ID	GO_Term_Original_Name
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	GO:0006984	ER-nucleus signaling pathway
GOBP_RESPONSE_TO_STEROL_DEPLETION	GO:0006991	response to sterol depletion
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_STARVATION	GO:0006995	cellular response to nitrogen starvation
GOBP_NUCLEUS_ORGANIZATION	GO:0006997	nucleus organization
GOBP_NUCLEAR_ENVELOPE_ORGANIZATION	GO:0006998	nuclear envelope organization
GOBP_NUCLEAR_PORE_ORGANIZATION	GO:0006999	nuclear pore organization
GOBP_NUCLEOLUS_ORGANIZATION	GO:0007000	nucleolus organization
GOBP_MITOCHONDRION_ORGANIZATION	GO:0007005	mitochondrion organization
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	GO:0007006	mitochondrial membrane organization
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	GO:0007007	inner mitochondrial membrane organization
GOBP_OUTER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	GO:0007008	outer mitochondrial membrane organization
GOBP_PLASMA_MEMBRANE_ORGANIZATION	GO:0007009	plasma membrane organization
GOBP_CYTOSKELETON_ORGANIZATION	GO:0007010	cytoskeleton organization
GOBP_ACTIN_FILAMENT_ORGANIZATION	GO:0007015	actin filament organization
GOBP_MICROTUBULE_BASED_PROCESS	GO:0007017	microtubule-based process
GOBP_MICROTUBULE_BASED_MOVEMENT	GO:0007018	microtubule-based movement
GOBP_MICROTUBULE_DEPOLYMERIZATION	GO:0007019	microtubule depolymerization
GOBP_MICROTUBULE_NUCLEATION	GO:0007020	microtubule nucleation
GOBP_TUBULIN_COMPLEX_ASSEMBLY	GO:0007021	tubulin complex assembly
GOBP_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	GO:0007023	post-chaperonin tubulin folding pathway
GOBP_CYTOPLASM_ORGANIZATION	GO:0007028	cytoplasm organization
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION	GO:0007029	endoplasmic reticulum organization
GOBP_GOLGI_ORGANIZATION	GO:0007030	Golgi organization
GOBP_PEROXISOME_ORGANIZATION	GO:0007031	peroxisome organization
GOBP_ENDOSOME_ORGANIZATION	GO:0007032	endosome organization
GOBP_VACUOLE_ORGANIZATION	GO:0007033	vacuole organization
GOBP_VACUOLAR_TRANSPORT	GO:0007034	vacuolar transport
GOBP_VACUOLAR_ACIDIFICATION	GO:0007035	vacuolar acidification
GOBP_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	GO:0007039	protein catabolic process in the vacuole
GOBP_LYSOSOMAL_TRANSPORT	GO:0007041	lysosomal transport
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION	GO:0007042	lysosomal lumen acidification
GOBP_CELL_CELL_JUNCTION_ASSEMBLY	GO:0007043	cell-cell junction assembly
GOBP_CELL_CYCLE	GO:0007049	cell cycle
GOBP_CELL_CYCLE_ARREST	GO:0007050	cell cycle arrest
GOBP_SPINDLE_ORGANIZATION	GO:0007051	spindle organization
GOBP_MITOTIC_SPINDLE_ORGANIZATION	GO:0007052	mitotic spindle organization
GOBP_CHROMOSOME_SEGREGATION	GO:0007059	chromosome segregation
GOBP_SISTER_CHROMATID_COHESION	GO:0007062	sister chromatid cohesion
GOBP_REGULATION_OF_SISTER_CHROMATID_COHESION	GO:0007063	regulation of sister chromatid cohesion
GOBP_MITOTIC_SISTER_CHROMATID_COHESION	GO:0007064	mitotic sister chromatid cohesion
GOBP_MITOTIC_CHROMOSOME_CONDENSATION	GO:0007076	mitotic chromosome condensation
GOBP_MITOTIC_NUCLEAR_ENVELOPE_DISASSEMBLY	GO:0007077	mitotic nuclear envelope disassembly
GOBP_MITOTIC_METAPHASE_PLATE_CONGRESSION	GO:0007080	mitotic metaphase plate congression
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	GO:0007088	regulation of mitotic nuclear division
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT	GO:0007093	mitotic cell cycle checkpoint
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT	GO:0007095	mitotic G2 DNA damage checkpoint
GOBP_REGULATION_OF_EXIT_FROM_MITOSIS	GO:0007096	regulation of exit from mitosis
GOBP_NUCLEAR_MIGRATION	GO:0007097	nuclear migration
GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	GO:0007129	homologous chromosome pairing at meiosis
GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION	GO:0007140	male meiotic nuclear division
GOBP_MALE_MEIOSIS_I	GO:0007141	male meiosis I
GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION	GO:0007143	female meiotic nuclear division
GOBP_FEMALE_MEIOSIS_I	GO:0007144	female meiosis I
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GOBP_NEURON_CELL_CELL_ADHESION	GO:0007158	neuron cell-cell adhesion
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	GO:0007159	leukocyte cell-cell adhesion
GOBP_CELL_MATRIX_ADHESION	GO:0007160	cell-matrix adhesion
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	GO:0007162	negative regulation of cell adhesion
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY	GO:0007163	establishment or maintenance of cell polarity
GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY	GO:0007164	establishment of tissue polarity
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	GO:0007167	enzyme linked receptor protein signaling pathway
GOBP_RECEPTOR_GUANYLYL_CYCLASE_SIGNALING_PATHWAY	GO:0007168	receptor guanylyl cyclase signaling pathway
GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	GO:0007171	activation of transmembrane receptor protein tyrosine kinase activity
GOBP_SIGNAL_COMPLEX_ASSEMBLY	GO:0007172	signal complex assembly
GOBP_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	GO:0007173	epidermal growth factor receptor signaling pathway
GOBP_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	GO:0007175	negative regulation of epidermal growth factor-activated receptor activity
GOBP_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	GO:0007176	regulation of epidermal growth factor-activated receptor activity
GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	GO:0007179	transforming growth factor beta receptor signaling pathway
GOBP_COMMON_PARTNER_SMAD_PROTEIN_PHOSPHORYLATION	GO:0007182	common-partner SMAD protein phosphorylation
GOBP_SMAD_PROTEIN_COMPLEX_ASSEMBLY	GO:0007183	SMAD protein complex assembly
GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_SIGNALING_PATHWAY	GO:0007185	transmembrane receptor protein tyrosine phosphatase signaling pathway
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO:0007186	G protein-coupled receptor signaling pathway
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	GO:0007190	activation of adenylate cyclase activity
GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	GO:0007191	adenylate cyclase-activating dopamine receptor signaling pathway
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	GO:0007194	negative regulation of adenylate cyclase activity
GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	GO:0007195	adenylate cyclase-inhibiting dopamine receptor signaling pathway
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GO:0007196	adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	GO:0007197	adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway
GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	GO:0007198	adenylate cyclase-inhibiting serotonin receptor signaling pathway
GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	GO:0007202	activation of phospholipase C activity
GOBP_PROTEIN_KINASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway
GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	GO:0007210	serotonin receptor signaling pathway
GOBP_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	GO:0007212	dopamine receptor signaling pathway
GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	GO:0007213	G protein-coupled acetylcholine receptor signaling pathway
GOBP_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY	GO:0007214	gamma-aminobutyric acid signaling pathway
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GO:0007215	glutamate receptor signaling pathway
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GO:0007216	G protein-coupled glutamate receptor signaling pathway
GOBP_TACHYKININ_RECEPTOR_SIGNALING_PATHWAY	GO:0007217	tachykinin receptor signaling pathway
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GO:0007218	neuropeptide signaling pathway
GOBP_NOTCH_SIGNALING_PATHWAY	GO:0007219	Notch signaling pathway
GOBP_NOTCH_RECEPTOR_PROCESSING	GO:0007220	Notch receptor processing
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NOTCH_RECEPTOR_TARGET	GO:0007221	positive regulation of transcription of Notch receptor target
GOBP_WNT_SIGNALING_PATHWAY_CALCIUM_MODULATING_PATHWAY	GO:0007223	Wnt signaling pathway, calcium modulating pathway
GOBP_SMOOTHENED_SIGNALING_PATHWAY	GO:0007224	smoothened signaling pathway
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	GO:0007229	integrin-mediated signaling pathway
GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	GO:0007249	I-kappaB kinase/NF-kappaB signaling
GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	GO:0007250	activation of NF-kappaB-inducing kinase activity
GOBP_I_KAPPAB_PHOSPHORYLATION	GO:0007252	I-kappaB phosphorylation
GOBP_CYTOPLASMIC_SEQUESTERING_OF_NF_KAPPAB	GO:0007253	cytoplasmic sequestering of NF-kappaB
GOBP_JNK_CASCADE	GO:0007254	JNK cascade
GOBP_ACTIVATION_OF_JNKK_ACTIVITY	GO:0007256	activation of JNKK activity
GOBP_ACTIVATION_OF_JUN_KINASE_ACTIVITY	GO:0007257	activation of JUN kinase activity
GOBP_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	GO:0007260	tyrosine phosphorylation of STAT protein
GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION	GO:0007263	nitric oxide mediated signal transduction
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GO:0007264	small GTPase mediated signal transduction
GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION	GO:0007265	Ras protein signal transduction
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION	GO:0007266	Rho protein signal transduction
GOBP_CELL_CELL_SIGNALING	GO:0007267	cell-cell signaling
GOBP_NEUROTRANSMITTER_SECRETION	GO:0007269	neurotransmitter secretion
GOBP_NEURON_NEURON_SYNAPTIC_TRANSMISSION	GO:0007270	neuron-neuron synaptic transmission
GOBP_SYNAPTIC_TRANSMISSION_CHOLINERGIC	GO:0007271	synaptic transmission, cholinergic
GOBP_ENSHEATHMENT_OF_NEURONS	GO:0007272	ensheathment of neurons
GOBP_NEUROMUSCULAR_SYNAPTIC_TRANSMISSION	GO:0007274	neuromuscular synaptic transmission
GOBP_GAMETE_GENERATION	GO:0007276	gamete generation
GOBP_GERM_CELL_DEVELOPMENT	GO:0007281	germ cell development
GOBP_SPERM_AXONEME_ASSEMBLY	GO:0007288	sperm axoneme assembly
GOBP_SPERMATID_NUCLEUS_DIFFERENTIATION	GO:0007289	spermatid nucleus differentiation
GOBP_FEMALE_GAMETE_GENERATION	GO:0007292	female gamete generation
GOBP_INSEMINATION	GO:0007320	insemination
GOBP_SINGLE_FERTILIZATION	GO:0007338	single fertilization
GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA	GO:0007339	binding of sperm to zona pellucida
GOBP_ACROSOME_REACTION	GO:0007340	acrosome reaction
GOBP_PENETRATION_OF_ZONA_PELLUCIDA	GO:0007341	penetration of zona pellucida
GOBP_FUSION_OF_SPERM_TO_EGG_PLASMA_MEMBRANE_INVOLVED_IN_SINGLE_FERTILIZATION	GO:0007342	fusion of sperm to egg plasma membrane involved in single fertilization
GOBP_EGG_ACTIVATION	GO:0007343	egg activation
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE	GO:0007346	regulation of mitotic cell cycle
GOBP_BLASTODERM_SEGMENTATION	GO:0007350	blastoderm segmentation
GOBP_TRIPARTITE_REGIONAL_SUBDIVISION	GO:0007351	tripartite regional subdivision
GOBP_THORAX_AND_ANTERIOR_ABDOMEN_DETERMINATION	GO:0007356	thorax and anterior abdomen determination
GOBP_GASTRULATION	GO:0007369	gastrulation
GOBP_SEGMENT_SPECIFICATION	GO:0007379	segment specification
GOBP_PATTERN_SPECIFICATION_PROCESS	GO:0007389	pattern specification process
GOBP_ECTODERM_DEVELOPMENT	GO:0007398	ectoderm development
GOBP_NEUROBLAST_PROLIFERATION	GO:0007405	neuroblast proliferation
GOBP_NEGATIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	GO:0007406	negative regulation of neuroblast proliferation
GOBP_AXONAL_FASCICULATION	GO:0007413	axonal fasciculation
GOBP_SYNAPSE_ASSEMBLY	GO:0007416	synapse assembly
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	GO:0007417	central nervous system development
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	GO:0007422	peripheral nervous system development
GOBP_SENSORY_ORGAN_DEVELOPMENT	GO:0007423	sensory organ development
GOBP_SALIVARY_GLAND_DEVELOPMENT	GO:0007431	salivary gland development
GOBP_FOREGUT_MORPHOGENESIS	GO:0007440	foregut morphogenesis
GOBP_ENDODERM_DEVELOPMENT	GO:0007492	endoderm development
GOBP_MIDGUT_DEVELOPMENT	GO:0007494	midgut development
GOBP_MESODERM_DEVELOPMENT	GO:0007498	mesoderm development
GOBP_MESODERMAL_CELL_FATE_SPECIFICATION	GO:0007501	mesodermal cell fate specification
GOBP_GONADAL_MESODERM_DEVELOPMENT	GO:0007506	gonadal mesoderm development
GOBP_HEART_DEVELOPMENT	GO:0007507	heart development
GOBP_ADULT_HEART_DEVELOPMENT	GO:0007512	adult heart development
GOBP_MUSCLE_ORGAN_DEVELOPMENT	GO:0007517	muscle organ development
GOBP_MYOBLAST_FUSION	GO:0007520	myoblast fusion
GOBP_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	GO:0007528	neuromuscular junction development
GOBP_SEX_DETERMINATION	GO:0007530	sex determination
GOBP_SEX_DIFFERENTIATION	GO:0007548	sex differentiation
GOBP_DOSAGE_COMPENSATION	GO:0007549	dosage compensation
GOBP_EMBRYO_IMPLANTATION	GO:0007566	embryo implantation
GOBP_PARTURITION	GO:0007567	parturition
GOBP_AGING	GO:0007568	aging
GOBP_CELL_AGING	GO:0007569	cell aging
GOBP_RESPONSE_TO_NUTRIENT	GO:0007584	response to nutrient
GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM	GO:0007585	respiratory gaseous exchange by respiratory system
GOBP_DIGESTION	GO:0007586	digestion
GOBP_EXCRETION	GO:0007588	excretion
GOBP_BODY_FLUID_SECRETION	GO:0007589	body fluid secretion
GOBP_LACTATION	GO:0007595	lactation
GOBP_BLOOD_COAGULATION_INTRINSIC_PATHWAY	GO:0007597	blood coagulation, intrinsic pathway
GOBP_SENSORY_PERCEPTION	GO:0007600	sensory perception
GOBP_PHOTOTRANSDUCTION	GO:0007602	phototransduction
GOBP_PHOTOTRANSDUCTION_VISIBLE_LIGHT	GO:0007603	phototransduction, visible light
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO:0007606	sensory perception of chemical stimulus
GOBP_SENSORY_PERCEPTION_OF_SMELL	GO:0007608	sensory perception of smell
GOBP_BEHAVIOR	GO:0007610	behavior
GOBP_LEARNING	GO:0007612	learning
GOBP_MEMORY	GO:0007613	memory
GOBP_SHORT_TERM_MEMORY	GO:0007614	short-term memory
GOBP_LONG_TERM_MEMORY	GO:0007616	long-term memory
GOBP_MATING_BEHAVIOR	GO:0007617	mating behavior
GOBP_MATING	GO:0007618	mating
GOBP_COPULATION	GO:0007620	copulation
GOBP_RHYTHMIC_BEHAVIOR	GO:0007622	rhythmic behavior
GOBP_CIRCADIAN_RHYTHM	GO:0007623	circadian rhythm
GOBP_GROOMING_BEHAVIOR	GO:0007625	grooming behavior
GOBP_LOCOMOTORY_BEHAVIOR	GO:0007626	locomotory behavior
GOBP_FEEDING_BEHAVIOR	GO:0007631	feeding behavior
GOBP_VISUAL_BEHAVIOR	GO:0007632	visual behavior
GOBP_CHEMOSENSORY_BEHAVIOR	GO:0007635	chemosensory behavior
GOBP_MECHANOSENSORY_BEHAVIOR	GO:0007638	mechanosensory behavior
GOMF_CHEMOKINE_ACTIVITY	GO:0008009	chemokine activity
GOMF_BETA_CATENIN_BINDING	GO:0008013	beta-catenin binding
GOBP_REGULATION_OF_HEART_CONTRACTION	GO:0008016	regulation of heart contraction
GOMF_MICROTUBULE_BINDING	GO:0008017	microtubule binding
GOMF_PROTEIN_C_TERMINUS_BINDING	GO:0008022	protein C-terminus binding
GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	GO:0008023	transcription elongation factor complex
GOCC_CYCLIN_CDK_POSITIVE_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	GO:0008024	cyclin/CDK positive transcription elongation factor complex
GOMF_MONOCARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0008028	monocarboxylic acid transmembrane transporter activity
GOBP_TRNA_PROCESSING	GO:0008033	tRNA processing
GOMF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_BINDING	GO:0008035	high-density lipoprotein particle binding
GOBP_CELL_RECOGNITION	GO:0008037	cell recognition
GOBP_NEURON_RECOGNITION	GO:0008038	neuron recognition
GOBP_MOTOR_NEURON_AXON_GUIDANCE	GO:0008045	motor neuron axon guidance
GOMF_AXON_GUIDANCE_RECEPTOR_ACTIVITY	GO:0008046	axon guidance receptor activity
GOMF_ENZYME_ACTIVATOR_ACTIVITY	GO:0008047	enzyme activator activity
GOMF_CALCIUM_SENSITIVE_GUANYLATE_CYCLASE_ACTIVATOR_ACTIVITY	GO:0008048	calcium sensitive guanylate cyclase activator activity
GOBP_MITOCHONDRIAL_FUSION	GO:0008053	mitochondrial fusion
GOMF_CHITIN_BINDING	GO:0008061	chitin binding
GOBP_TOLL_SIGNALING_PATHWAY	GO:0008063	Toll signaling pathway
GOMF_GLUTAMATE_RECEPTOR_ACTIVITY	GO:0008066	glutamate receptor activity
GOMF_TRANSLATION_TERMINATION_FACTOR_ACTIVITY	GO:0008079	translation termination factor activity
GOMF_N_ACETYLTRANSFERASE_ACTIVITY	GO:0008080	N-acetyltransferase activity
GOMF_PHOSPHORIC_DIESTER_HYDROLASE_ACTIVITY	GO:0008081	phosphoric diester hydrolase activity
GOMF_GROWTH_FACTOR_ACTIVITY	GO:0008083	growth factor activity
GOBP_AXO_DENDRITIC_TRANSPORT	GO:0008088	axo-dendritic transport
GOBP_ANTEROGRADE_AXONAL_TRANSPORT	GO:0008089	anterograde axonal transport
GOBP_RETROGRADE_AXONAL_TRANSPORT	GO:0008090	retrograde axonal transport
GOCC_SPECTRIN	GO:0008091	spectrin
GOMF_CYTOSKELETAL_PROTEIN_BINDING	GO:0008092	cytoskeletal protein binding
GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY	GO:0008093	cytoskeletal anchor activity
GOMF_DNA_DEPENDENT_ATPASE_ACTIVITY	GO:0008094	DNA-dependent ATPase activity
GOMF_5S_RRNA_BINDING	GO:0008097	5S rRNA binding
GOMF_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY	GO:0008106	alcohol dehydrogenase (NADP+) activity
GOMF_UBIQUINOL_CYTOCHROME_C_REDUCTASE_ACTIVITY	GO:0008121	ubiquinol-cytochrome-c reductase activity
GOMF_ACETYLESTERASE_ACTIVITY	GO:0008126	acetylesterase activity
GOMF_PRIMARY_AMINE_OXIDASE_ACTIVITY	GO:0008131	primary amine oxidase activity
GOMF_TRANSCRIPTION_FACTOR_BINDING	GO:0008134	transcription factor binding
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GO:0008135	translation factor activity, RNA binding
GOMF_PROTEIN_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY	GO:0008138	protein tyrosine/serine/threonine phosphatase activity
GOMF_NUCLEAR_LOCALIZATION_SEQUENCE_BINDING	GO:0008139	nuclear localization sequence binding
GOMF_CAMP_RESPONSE_ELEMENT_BINDING_PROTEIN_BINDING	GO:0008140	cAMP response element binding protein binding
GOMF_OXYSTEROL_BINDING	GO:0008142	oxysterol binding
GOMF_POLY_A_BINDING	GO:0008143	poly(A) binding
GOMF_DRUG_BINDING	GO:0008144	drug binding
GOMF_SULFOTRANSFERASE_ACTIVITY	GO:0008146	sulfotransferase activity
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	GO:0008154	actin polymerization or depolymerization
GOBP_NEGATIVE_REGULATION_OF_DNA_REPLICATION	GO:0008156	negative regulation of DNA replication
GOMF_PROTEIN_PHOSPHATASE_1_BINDING	GO:0008157	protein phosphatase 1 binding
GOMF_C_METHYLTRANSFERASE_ACTIVITY	GO:0008169	C-methyltransferase activity
GOMF_N_METHYLTRANSFERASE_ACTIVITY	GO:0008170	N-methyltransferase activity
GOMF_O_METHYLTRANSFERASE_ACTIVITY	GO:0008171	O-methyltransferase activity
GOMF_S_METHYLTRANSFERASE_ACTIVITY	GO:0008172	S-methyltransferase activity
GOMF_RNA_METHYLTRANSFERASE_ACTIVITY	GO:0008173	RNA methyltransferase activity
GOMF_MRNA_METHYLTRANSFERASE_ACTIVITY	GO:0008174	mRNA methyltransferase activity
GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY	GO:0008175	tRNA methyltransferase activity
GOMF_ADENYLATE_CYCLASE_BINDING	GO:0008179	adenylate cyclase binding
GOCC_COP9_SIGNALOSOME	GO:0008180	COP9 signalosome
GOMF_RNA_DEPENDENT_ATPASE_ACTIVITY	GO:0008186	RNA-dependent ATPase activity
GOMF_POLY_PYRIMIDINE_TRACT_BINDING	GO:0008187	poly-pyrimidine tract binding
GOMF_NEUROPEPTIDE_RECEPTOR_ACTIVITY	GO:0008188	neuropeptide receptor activity
GOMF_EUKARYOTIC_INITIATION_FACTOR_4E_BINDING	GO:0008190	eukaryotic initiation factor 4E binding
GOMF_METALLOENDOPEPTIDASE_INHIBITOR_ACTIVITY	GO:0008191	metalloendopeptidase inhibitor activity
GOMF_UDP_GLYCOSYLTRANSFERASE_ACTIVITY	GO:0008194	UDP-glycosyltransferase activity
GOMF_PHOSPHATIDATE_PHOSPHATASE_ACTIVITY	GO:0008195	phosphatidate phosphatase activity
GOMF_FERROUS_IRON_BINDING	GO:0008198	ferrous iron binding
GOMF_FERRIC_IRON_BINDING	GO:0008199	ferric iron binding
GOMF_HEPARIN_BINDING	GO:0008201	heparin binding
GOBP_STEROID_METABOLIC_PROCESS	GO:0008202	steroid metabolic process
GOBP_BILE_ACID_METABOLIC_PROCESS	GO:0008206	bile acid metabolic process
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	GO:0008207	C21-steroid hormone metabolic process
GOBP_ANDROGEN_METABOLIC_PROCESS	GO:0008209	androgen metabolic process
GOBP_ESTROGEN_METABOLIC_PROCESS	GO:0008210	estrogen metabolic process
GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	GO:0008211	glucocorticoid metabolic process
GOBP_MINERALOCORTICOID_METABOLIC_PROCESS	GO:0008212	mineralocorticoid metabolic process
GOBP_SPERMINE_METABOLIC_PROCESS	GO:0008215	spermine metabolic process
GOBP_SPERMIDINE_METABOLIC_PROCESS	GO:0008216	spermidine metabolic process
GOBP_REGULATION_OF_BLOOD_PRESSURE	GO:0008217	regulation of blood pressure
GOMF_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY	GO:0008227	G protein-coupled amine receptor activity
GOBP_OPSONIZATION	GO:0008228	opsonization
GOMF_PEPTIDASE_ACTIVITY	GO:0008233	peptidase activity
GOMF_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY	GO:0008234	cysteine-type peptidase activity
GOMF_METALLOEXOPEPTIDASE_ACTIVITY	GO:0008235	metalloexopeptidase activity
GOMF_METALLOPEPTIDASE_ACTIVITY	GO:0008237	metallopeptidase activity
GOMF_EXOPEPTIDASE_ACTIVITY	GO:0008238	exopeptidase activity
GOMF_DIPEPTIDYL_PEPTIDASE_ACTIVITY	GO:0008239	dipeptidyl-peptidase activity
GOMF_OMEGA_PEPTIDASE_ACTIVITY	GO:0008242	omega peptidase activity
